species,basisOfRecord,brackish,catalogNumber,class,classid,date_end,date_mid,date_start,date_year,decimalLatitude,decimalLongitude,eventDate,family,familyid,genus,genusid,kingdom,kingdomid,locality,marine,occurrenceID,occurrenceStatus,order,orderid,phylum,phylumid,scientificName,scientificNameID,speciesid,originalScientificName,aphiaID,bathymetry,shoredistance,sst,sss,coordinateUncertaintyInMeters,country,geodeticDatum,depth,individualCount,lifeStage,maximumDepthInMeters,minimumDepthInMeters,samplingProtocol,waterBody,day,island,islandGroup,modified,month,taxonID,type,verbatimDepth,year,higherGeography,language,namePublishedInID,originalNameUsage,scientificNameAuthorship,specificEpithet,startDayOfYear,continent,acceptedNameUsage,acceptedNameUsageID,countryCode,dateIdentified,eventRemarks,fieldNumber,locationID,locationRemarks,taxonRank,typeStatus,georeferenceProtocol,georeferenceRemarks,higherClassification,nomenclaturalCode,stateProvince,unaccepted,habitat,sex,coordinatePrecision,occurrenceRemarks,organismQuantity,organismQuantityType,vernacularName,endDayOfYear,sst_bad,sss_bad
Thunnus albacares,Occurrence,True,EME_1-33796,Teleostei,293496.0,,,,,11.2180166666669,48.218006666667,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-33796",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,162.0,2539.0,28.53,36.35,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,#1307366559452#0.10190505360268731,Teleostei,293496.0,,,,,-0.26680556,59.616802,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366559452#0.10190505360268731:0x9268A80101000A00",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,4704.0,588696.0,29.03,35.29,,,,,,,,,,,,,,2013-06-20 10:40:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,,EME_1-fr.ird.observe.entities.TailleThon#1307366559452#0.10190505360268731,,,,,False,False
Thunnus albacares,Occurrence,True,#1306921626356#0.01441928771469625,Teleostei,293496.0,,,,,-21.50014,36.100136,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, SÃ¨te, France:TAAF (Iles Eparses):#1306921626356#0.01441928771469625:0xFE48A80101000300",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,1168.0,62755.0,26.4,34.89,,,,,,,,,,,,,,2013-06-20 10:40:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,,EME_1-fr.ird.observe.entities.TailleThon#1306921626356#0.01441928771469625,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-28274,Teleostei,293496.0,,,,,-5.5701166666667,47.60363,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-28274",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,4836.0,441379.0,27.8,35.28,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,HumanObservation,True,MCM-LINE-2178305,Teleostei,293496.0,931392000000.0,931392000000.0,931392000000.0,1999.0,-30.8066997528,30.4129009247,1999-07-08 12:00:00+00:00,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,Shelly Beach,True,,,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,-15.0,17.0,23.57,35.29,,South Africa,,,,,,,,Indian,8.0,,,,7.0,,,,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,#1307366541281#0.8396357213145148,Teleostei,293496.0,,,,,-7.7001386,69.716805,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366541281#0.8396357213145148:0x6E38A80101000900",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,3637.0,210991.0,28.28,34.64,,,,,,,,,,,,,,2013-06-20 10:40:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,,EME_1-fr.ird.observe.entities.TailleThon#1307366541281#0.8396357213145148,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-25434,Teleostei,293496.0,,,,,-5.83843333333329,63.4695666666669,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-25434",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,4128.0,805003.0,28.48,34.99,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-85341,Teleostei,293496.0,,,,,-3.8718866666667,45.419186666667,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-85341",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,4669.0,490498.0,27.5,35.32,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-5735,Teleostei,293496.0,,,,,-17.061,42.0799999999999,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:stomac:EME_1-5735",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,2214.0,65841.0,27.56,34.97,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-46372,Teleostei,293496.0,,,,,-9.72106666666669,62.0001,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-46372",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,1838.0,585747.0,27.77,34.75,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-43700,Teleostei,293496.0,,,,,-11.0168666666669,61.7042,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-43700",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,115.0,549504.0,27.51,34.75,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,#1306921333806#0.8948895346669336,Teleostei,293496.0,,,,,-15.250139,44.200138,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, SÃ¨te, France:TAAF (Iles Eparses):#1306921333806#0.8948895346669336:0x5A60A80101000B00",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,3027.0,107292.0,27.77,34.91,,,,,,,,,,,,,,2013-06-20 10:40:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,,EME_1-fr.ird.observe.entities.TailleThon#1306921333806#0.8948895346669336,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-86186,Teleostei,293496.0,,,,,-11.3521,60.519766666667,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-86186",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,1405.0,427801.0,27.37,34.77,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-24418,Teleostei,293496.0,,,,,-10.8719666666669,60.2347333333329,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-24418",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,227.0,388274.0,27.41,34.77,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,Occurrence,True,#1307366717574#0.5880777951704226,Teleostei,293496.0,,,,,-5.9668055,49.73347,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366717574#0.5880777951704226:0x346BA80101000000",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,3845.0,342865.0,27.93,35.26,,,,,,,,,,,,,,2013-06-20 10:40:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,,EME_1-fr.ird.observe.entities.TailleThon#1307366717574#0.5880777951704226,,,,,False,False
Thunnus albacares,Occurrence,True,EME_1-64682,Teleostei,293496.0,,,,,3.1676666666667,57.9055,,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-64682",present,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,4527.0,813502.0,28.77,35.46,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Thunnus albacares,HumanObservation,True,MCM-LINE-781220,Teleostei,293496.0,641952000000.0,641952000000.0,641952000000.0,1990.0,-33.9376983643,25.6128005981,1990-05-06 12:00:00+00:00,Scombridae,125559.0,Thunnus,126065.0,Animalia,2.0,Port Elizabeth,True,,,Scombriformes,1517490.0,Chordata,1821.0,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Thunnus albacares,127027.0,-3.0,113.0,19.05,35.4,,South Africa,,,,,,,,Indian,6.0,,,,5.0,,,,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
